Method,Global_Round,Test_Accuracy,Test_Loss
Baseline,1,0.7764705882352941,1.8752082586288452
Baseline,2,0.6352941176470588,2.167529821395874
Baseline,3,0.6176470588235294,2.32785693804423
Baseline,4,0.7705882352941177,0.6876583347717921
Baseline,5,0.7705882352941177,0.7566202133893967
SmallBatch,1,0.9,0.5737364091134319
SmallBatch,2,0.6352941176470588,2.402965466181437
SmallBatch,3,0.6588235294117647,1.5980484187602997
SmallBatch,4,0.7,1.3361581961313884
SmallBatch,5,0.8823529411764706,0.32928468349079293
MixedPrecision,1,0.611764705882353,10.431871374448141
MixedPrecision,2,0.6823529411764706,2.6740821997324624
MixedPrecision,3,0.7529411764705882,1.156950518488884
MixedPrecision,4,0.711764705882353,0.8034894317388535
MixedPrecision,5,0.7294117647058823,1.376333326101303
ReduceComplexity,1,0.6588235294117647,7.687382817268372
ReduceComplexity,2,0.711764705882353,3.5362693866093955
ReduceComplexity,3,0.6882352941176471,2.364073465267817
ReduceComplexity,4,0.7588235294117647,0.8862058619658152
ReduceComplexity,5,0.888235294117647,1.0430204443012674
