Method,Global_Round,Test_Accuracy,Test_Loss
Baseline,1,0.48823529411764705,20.530938148498535
Baseline,2,0.5941176470588235,8.4900963306427
Baseline,3,0.6470588235294118,5.115941762924194
Baseline,4,0.7235294117647059,4.043022036552429
Baseline,5,0.7411764705882353,3.275561571121216
SmallBatch,1,0.4823529411764706,10.35347604751587
SmallBatch,2,0.5176470588235295,5.5329766273498535
SmallBatch,3,0.6058823529411764,4.486311674118042
SmallBatch,4,0.6176470588235294,2.8177140951156616
SmallBatch,5,0.6941176470588235,2.029588997364044
MixedPrecision,1,0.27647058823529413,169.04303741455078
MixedPrecision,2,0.27647058823529413,169.04303741455078
MixedPrecision,3,0.27647058823529413,169.04303741455078
MixedPrecision,4,0.27647058823529413,169.04303741455078
MixedPrecision,5,0.27647058823529413,169.04303741455078
ReduceComplexity,1,0.29411764705882354,116.35537338256836
ReduceComplexity,2,0.3058823529411765,59.79146385192871
ReduceComplexity,3,0.5,18.749505043029785
ReduceComplexity,4,0.5941176470588235,10.954558372497559
ReduceComplexity,5,0.611764705882353,9.594732284545898
