Method,Global_Round,Test_Accuracy,Test_Loss
Baseline,1,0.8,0.7927024066448212
Baseline,2,0.9529411764705882,0.24766608147183433
SmallBatch,1,0.6647058823529411,3.9830633203188577
SmallBatch,2,0.6941176470588235,3.17620857556661
SmallBatch,3,0.6882352941176471,5.071795284748077
SmallBatch,4,0.788235294117647,2.270048227161169
SmallBatch,5,0.7705882352941177,2.840356059372425
MixedPrecision,1,0.5764705882352941,3.4181445638338723
MixedPrecision,2,0.9,0.33634069810311
MixedPrecision,3,0.9,0.3529517365774761
MixedPrecision,4,0.9470588235294117,0.29252705865656026
MixedPrecision,5,0.9588235294117647,0.22266630871066204
ReduceComplexity,1,0.7823529411764706,0.8136915961901346
ReduceComplexity,2,0.6764705882352942,1.3722322806715965
ReduceComplexity,3,0.7470588235294118,1.7426955451567967
ReduceComplexity,4,0.9058823529411765,0.433549549158973
ReduceComplexity,5,0.888235294117647,0.5416528693943595
