Method,Accuracy,F1,Emissions
Baseline,0.7823529411764706,0.7676153640684019,6.504033453349527e-06
SmallBatch,0.6647058823529411,0.5912598692971985,6.310674495921351e-06
MixedPrecision,0.8058823529411765,0.7948133647398353,7.26098542868047e-06
ReduceComplexity,0.8,0.7820968816864848,6.97704163474714e-06
