Method,Accuracy,F1,Emissions
Baseline,0.8764705882352941,0.8735007309526723,7.985916522290862e-06
SmallBatch,0.9411764705882353,0.9409849778425574,5.567566972615278e-06
MixedPrecision,0.8235294117647058,0.8122149688660587,7.956732380240267e-06
ReduceComplexity,0.9176470588235294,0.9169195696606248,5.617049224981228e-06
