Method,Accuracy,F1,Emissions
Baseline,0.9647058823529412,0.9647919504643963,5.613684990470766e-06
SmallBatch,0.8411764705882353,0.8354878910811975,5.887709995767462e-06
MixedPrecision,0.7647058823529411,0.7398716448604759,7.246626606690192e-06
ReduceComplexity,0.6941176470588235,0.6359255476471652,5.771824446638055e-06
