Method,Accuracy,F1,Emissions
Baseline,0.38235294117647056,0.24653317666243013,2.304509807780282e-05
SmallBatch,0.36470588235294116,0.22242841581076878,5.867053062030407e-06
MixedPrecision,0.45294117647058824,0.3546247005589566,7.790671211573796e-06
ReduceComplexity,0.3588235294117647,0.2121860231271996,5.842143102793767e-06
