Method,Global_Round,Test_Accuracy,Test_Loss
Baseline,1,0.9152013147082991,0.27316357815608927
SmallBatch,1,0.9365653245686113,0.40372644372635486
MixedPrecision,1,0.933607230895645,0.2358701775601397
ReduceComplexity,1,0.9199671322925226,0.23722173952307377
